Category,Name,Neighborhood,Vicinity,Off-route (mi),Miles to finish
restaurant,Central Market New York,New York,"Whitehall Terminal/ Upper Level, 4 South Street, New York",0.04,85.31
restaurant,The River Café,Brooklyn,"1 Water Street, Brooklyn",0.95,85.31
restaurant,Len's Papaya,New York,"4 South Street #204, New York",0.03,85.31
park,Brooklyn Bridge Park,Brooklyn,Brooklyn,0.88,85.31
park,Brooklyn Bridge Park Pier 5,Brooklyn Heights,"334 Furman Street, Brooklyn Heights",0.74,85.31
park,Brooklyn Heights Promenade,Brooklyn,"Montague St &, Pierrepont Place, Brooklyn",0.86,85.31
park,One Brooklyn Bridge Park,Brooklyn,"360 Furman Street, Brooklyn",0.89,85.31
park,Pier 1 Playground,Brooklyn,"102 Furman Street, Brooklyn",0.87,85.31
park,Pier 6 Dog Run,Brooklyn,"334 Furman Street, Brooklyn",0.9,85.31
park,Brooklyn Bridge Park Conservancy,Brooklyn,"334 Furman Street, Brooklyn",0.87,85.31
park,Hillside Dog Park,Brooklyn,"Vine Street, Brooklyn",0.96,85.31
park,Adam Yauch Park,Brooklyn,"27 State Street #5512, Brooklyn",0.98,85.31
park,Water Fountains for Kids,Brooklyn,"150 Furman St, Brooklyn",0.83,85.31
water,Drinking fountain,New York,"146 Carder Rd, New York",0.63,85.31
water,Public Drinking Water Fountains with bottle refill,Brooklyn,"1 Pierrepont Pl, Brooklyn",0.88,85.31
restaurant,Starbucks,New York,"110 Pearl Street, New York",0.26,85.26
restaurant,Fresh Salt,New York,"146 Beekman Street, New York",0.64,85.26
restaurant,Starbucks,New York,"155 Water Street, New York",0.47,85.26
restaurant,Beckett's Sports Bar,New York,"81 Pearl Street, 48 Stone Street, New York",0.19,85.26
restaurant,The Seaport,New York,"19 Fulton Street, New York",0.59,85.26
restaurant,Harry's,New York,"1 Hanover Square, New York",0.24,85.26
restaurant,Ulysses',New York,"58 Stone Street, New York",0.22,85.26
restaurant,Stone Street Tavern,New York,"52 Stone Street, New York",0.2,85.26
restaurant,Mad Dog & Beans Mexican Cantina,New York,"83 Pearl Street, New York",0.19,85.26
park,New York Vietnam Veterans Memorial Plaza Square,New York,"55 Water Street, New York",0.17,85.26
park,Coenties Slip,New York,"&, Water St &, Coenties Slip, New York",0.15,85.26
water,Public Drinking Water Fountains with bottle refill,New York,"171 John St, New York",0.54,85.26
park,East Coast Memorial,New York,New York,0.08,85.15
park,The Battery,New York,New York,0.03,85.14
park,The Battery Fountain,New York,New York,0.09,85.14
cafe,Rosen's Cafe LLC,New York,"2 Broadway, New York",0.08,85.03
restaurant,Chipotle Mexican Grill,New York,"2 Broadway, New York",0.07,85.03
bike_shop,Citi Bike: William St & Pine St,New York,New York,0.34,85.02
bike_shop,Essence,New York,"45 New Street, New York",0.16,85.02
restaurant,Pret A Manger,New York,"60 Broad Street, New York",0.14,85.02
restaurant,Dunkin',New York,"50 Pine Street, New York",0.34,85.02
restaurant,Delmonico's,New York,"56 Beaver Street, New York",0.22,85.02
restaurant,Harry's Italian,New York,"2 Gold Street, New York",0.45,85.02
restaurant,Cowgirl SeaHorse,New York,"259 Front Street, New York",0.77,85.02
park,Bowling Green,New York,"PX3P+XG, New York",0.05,85.02
park,Titanic Memorial Park,New York,"Pearl Street, New York",0.6,85.02
restaurant,JOE & THE JUICE,New York,"67 Wall St, New York",0.32,85.02
restaurant,JOE & THE JUICE,New York,"40 Broad St, New York",0.18,85.02
park,Robert F. Wagner Jr. Park,New York,"20 Battery Place, New York",0.09,84.86
water,Drinking water fountain with bottle refill,New York,"36 Battery Pl, New York",0.09,84.84
restaurant,Inatteso Cafe,New York,"38 Little West Street, New York",0.02,84.76
park,Battery Park City Parks,New York,"75 Battery Place, New York",0.04,84.74
restaurant,Bean & Bean Wall St,New York,"71 Broadway, New York",0.18,84.64
restaurant,Tajin,New York,"85 Greenwich Street, New York",0.12,84.63
restaurant,Dunkin',New York,"19 Rector Street, New York",0.1,84.61
restaurant,The Capital Grille,New York,"120 Broadway, New York",0.29,84.57
park,Conservancy-Historic Battery,New York,"120 Broadway, New York",0.26,84.55
restaurant,Blue Spoon Coffee Company,New York,"90 William Street, New York",0.41,84.54
restaurant,Trinity Place,New York,"115 Broadway, New York",0.21,84.54
